Data;Gasolina;Flex;Diesel;Gasolina_m3;Diesel_m3;Etanol hidratado_m3;Etanolanidro_m3;CO2;Eletrico
01/01/2012;24554;211422;16687;2189964;3589974;215417;142353;346689670;9
01/02/2012;21040;202970;11819;2060189;3586242;153762;117957;335701773;16
01/03/2012;26766;243878;13138;2227777;3765604;157582;82780;354592194;7
01/04/2012;23948;209603;11035;2211711;3639882;486832;93392;358764432;3
01/05/2012;25007;233619;15660;2211169;3851406;1484497;632525;427208369;13
01/06/2012;23218;301201;16177;2138433;3868281;1356986;897393;429306479;23
01/07/2012;23876;309415;20134;2190185;3863872;1975511;1483775;476599324;5
01/08/2012;27034;358307;20134;2270505;3890241;2177694;1685758;497760845;3
01/09/2012;20789;240344;16550;2146593;3935916;1970478;1544251;480252949;2
01/10/2012;20689;286885;19455;2199188;3726888;1849515;1562537;467740828;2
01/11/2012;18277;261382;17404;2122852;3844061;1342562;1105844;434369035;18
01/12/2012;18717;303848;21286;2262254;3941638;675193;564079;403548668;16
01/01/2013;16470;262500;18174;2305142;4121917;141123;171445;382226631;45
01/02/2013;12085;196783;13841;1981895;3662052;96353;88130;332225589;22
01/03/2013;12900;238798;16838;2218077;4263753;128890;85009;381493233;53
01/04/2013;16832;281017;19084;2338883;4114048;1158513;413436;429645425;50
01/05/2013;15520;266921;18490;2547099;4316592;1902831;1341296;515393741;12
01/06/2013;14782;269444;18830;2386944;3969111;1638216;1224194;472173736;29
01/07/2013;16426;287838;19968;2539279;4313743;2071341;1736499;535797700;65
01/08/2013;16033;278169;18758;2547379;4421952;2246731;1841115;552735994;45
01/09/2013;15145;260499;18750;2421396;3968272;2058596;1624180;504451882;23
01/10/2013;17795;275871;20172;2548704;4051871;1840086;1521859;504944858;39
01/11/2013;16755;253941;17799;2444939;4178500;1571002;1199931;484184764;52
01/12/2013;18366;297333;20478;2333635;4157375;864834;562220;426830079;56
01/01/2014;17064;265570;17378;2325547;3918413;146790;175157;372159401;93
01/02/2014;14891;216144;15042;2201106;3587514;129510;109318;342853210;61
01/03/2014;13144;201145;14774;2405370;4268645;217352;155518;398638824;65
01/04/2014;16010;245955;18105;2310722;4189359;1053833;533507;433047263;53
01/05/2014;15875;243898;18542;2429498;4001846;1829308;1436229;491458641;94
01/06/2014;13864;221487;15612;2458857;4231069;2045085;1609175;520592644;52
01/07/2014;14952;247045;18133;2485203;4437779;2016924;1506337;529030291;61
01/08/2014;14656;228445;16311;2573642;4198106;2502431;1888443;552529531;79
01/09/2014;15981;249241;17591;2417478;4089690;2251524;1489743;513032935;71
01/10/2014;15899;258428;17433;2453624;4296071;2290391;1572794;531475961;53
01/11/2014;14654;248154;17265;2445875;4220215;1357565;854802;465864729;87
01/12/2014;17851;314996;21093;2364964;4236351;630057;413314;419070213;86
01/01/2015;12900;217010;14285;2185201;3860184;207021;196171;363558731;72
01/02/2015;10123;158500;10584;2026243;3522225;178650;146990;332050570;56
01/03/2015;12830;198763;14682;1959332;4068457;357271;153335;365974365;61
01/04/2015;12424;185852;13653;2017156;3979112;1315458;537824;413409374;73
01/05/2015;11866;180471;12825;2277917;4427701;2051461;1004755;498557436;72
01/06/2015;11681;181203;11940;2163185;4254604;2348174;1360621;506106641;74
01/07/2015;11818;194484;13322;2214111;4269605;2246458;1424321;508690895;74
01/08/2015;10903;177859;11247;1998893;4317505;2786357;1828723;533560282;100
01/09/2015;10926;169869;11970;2179941;4470985;2341271;1467219;523218336;82
01/10/2015;10421;164256;10752;2264801;4411377;2370752;1561256;529423956;55
01/11/2015;8953;170039;10493;2156774;3917719;1411569;1053239;441068133;65
01/12/2015;11305;195714;13764;2284630;3958134;996256;654720;420824691;62
01/01/2016;7494;132454;9828;2246717;4340058;311344;195907;398310857;58
01/02/2016;6631;125415;10148;2146908;3737505;234915;105364;351882727;64
01/03/2016;8019;151120;14190;2292737;3917051;696079;219495;391663554;60
01/04/2016;6105;138772;12807;2301414;3923990;1831197;944618;460971126;137
01/05/2016;6142;143453;12712;2212156;3896197;1957896;1313018;472643001;41
01/06/2016;6182;146579;13763;2084140;3924724;1891285;1326582;464855234;91
01/07/2016;6033;155281;13661;2220364;3705479;2354444;1779623;494203161;48
01/08/2016;6423;158124;13669;2110612;3863525;2294996;1578171;487008104;59
01/09/2016;7273;134957;12757;2091386;3595229;2125072;1563016;463861561;49
01/10/2016;6719;136193;12004;2336556;3971110;1711501;1371879;477556456;93
01/11/2016;6363;153445;13779;2193446;3417354;1133851;893317;398599747;159
01/12/2016;7111;174955;16945;2277795;3077585;490173;370506;341162511;202
01/01/2017;4678;127106;11806;2225324;3318375;176039;130973;331418921;178
01/02/2017;4337;117500;10632;2055686;3092889;174585;87152;306875109;157
01/03/2017;5870;164203;13888;2362086;3513442;424559;223572;363060356;227
01/04/2017;5083;134570;12809;2276696;3472409;1171443;549015;394973643;176
01/05/2017;5953;169784;14445;2082411;3497701;1633807;1225869;427284314;208
01/06/2017;5801;168394;15050;2140168;3316044;1934382;1566560;444047402;238
01/07/2017;5609;157115;16046;2377471;3393470;2483298;1940256;496359208;268
01/08/2017;6746;186474;16295;2229021;3358185;2302402;1612691;466705949;627
01/09/2017;6065;173628;13729;2134015;3419821;2562815;1799897;481120351;384
01/10/2017;5812;174369;16518;2197570;3521321;2055823;1397033;457108852;243
01/11/2017;5961;175425;16021;1957103;3385743;1379836;812017;388715429;240
01/12/2017;6987;178653;19328;2177004;3291800;653276;295845;350528450;350
01/01/2018;5937;154303;15345;2098028;2935542;210769;120161;302940150;272
01/02/2018;5346;133063;13331;1881801;2778261;202000;60160;278674184;254
01/03/2018;6946;176364;16717;1919762;3295836;601179;93138;326096707;367
01/04/2018;7138;184670;18066;2002773;3357618;2103520;614308;408450506;367
01/05/2018;7376;169788;17825;2098177;3844612;2683584;1150399;483056548;302
01/06/2018;7471;168803;18714;2058398;3749212;3106391;1453134;501987935;382
01/07/2018;7045;181446;20321;1998720;3945233;3467254;1626952;529266821;262
01/08/2018;7640;211318;20379;1908901;3651888;3189846;1389628;488261909;262
01/09/2018;5907;179813;19128;1964622;3452534;3005459;1190928;465991733;286
01/10/2018;7356;216671;20730;2033265;3836864;2358395;936170;458958543;405
01/11/2018;6738;196776;17921;1833040;3587101;1653530;606931;395042448;374
01/12/2018;7032;195161;22801;1854794;3445764;1030540;202063;350454731;437
01/01/2019;5832;167381;17626;1949930;3181084;222912;134678;309234190;370
01/02/2019;6053;167760;16173;1899733;3077530;159728;67533;295555788;287
01/03/2019;5750;175578;18310;2001491;3557531;475044;106876;341796038;336
01/04/2019;6311;194518;20600;1925266;3490988;1840038;422949;394756897;290
01/05/2019;6196;206391;21656;1940084;3539143;2803537;1247646;464344772;357
01/06/2019;5946;186549;20786;1980570;3477501;3082970;1515286;483415346;716
01/07/2019;5962;202674;23266;2225349;3510408;3431251;1552913;513676005;960
01/08/2019;6481;201829;22345;2192071;3606868;3812154;1568563;531569460;867
01/09/2019;6533;194701;21516;1927449;3371250;3567672;1337736;485020159;1264
01/10/2019;6378;210454;22965;1941873;3285598;3345095;1412504;475770769;1989
01/11/2019;5713;202685;21179;1869709;3317434;1662492;805904;389657190;2013
01/12/2019;6698;218130;24800;2034543;3499512;496285;235232;346047722;2409
01/01/2020;4629;158721;19764;1918541;3386057;324016;151268;323362618;1568
01/02/2020;5383;167375;18488;1822063;3282044;307233;76486;308324950;2053
01/03/2020;4005;135044;15685;1728705;3203624;631824;142181;312568310;1570
01/04/2020;1292;41142;8587;1186221;2620803;2008355;616231;315060723;442
01/05/2020;2349;44734;9021;1541303;3342669;2660895;1076595;418082166;601
01/06/2020;5389;102259;13813;1691989;3559991;2735549;1185302;446142700;1334
01/07/2020;5829;138040;17887;1896259;3842899;3219532;1469565;502511576;1668
01/08/2020;5882;148276;17721;1994745;4018009;3204638;1451206;517058613;1943
01/09/2020;6459;168352;22241;2003893;3859881;3194986;1613819;514373325;2113
01/10/2020;5909;175742;21775;1904667;3992985;2496346;1465604;485306606;2273
01/11/2020;5763;184524;21968;1952633;3556047;1315922;773911;394421306;2231
01/12/2020;6041;200790;24204;2062302;3550113;455806;227359;348806917;1949
